crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year
16354568,20,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2008
16362382,44,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2016
16344395,20,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,yamaha,yzfr1,2007
16349619,55,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fxdbi,2006
16357248,61,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,bmw,r1100,1996
16356113,29,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ex500,1998
16356783,51,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,gl1200,1986
16359759,39,w - white,1 - male,1,k - fatal injury,mc - motorcycle,yel - yellow,can-am,spyder roadster,2018
16361519,19,98 - other,2 - female,1,b - suspected minor injury,mc - motorcycle,98 - other (explain in narrative),yamaha,fz6,2005
16354881,25,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,honda,vt1100,1996
16360505,15,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2009
16363607,56,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flstn,2016
16367040,26,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx-r600,2007
16367199,49,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,gry - gray,harley-davidson,flhr,2014
16344629,29,w - white,2 - female,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2013
16345435,29,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,tea - teal(green),honda,gl1800,1992
16347540,20,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,gsx,2001
16348711,46,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,kawasaki,ninja zx,2007
16350004,38,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,indian motorcycle co.,scout,2017
16350517,31,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,yel - yellow,harley-davidson,xlh883,2011
16363434,52,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,honda,vt750,2001
16349480,26,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,yamaha,fz09,2017
16365016,33,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2008
16350747,48,b - black,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,yamaha,yzf600,1997
16354366,50,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,honda,vt700,2016
16359295,28,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,grn - green,kawasaki,zx600,2009
16363006,18,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,yamaha,xvs650,2005
16363973,38,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,suzuki,gsx,1997
16351634,36,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,vt1100,2
16352511,34,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,mt500,1974
16352617,49,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,brz - bronze,bmw,k1600,2014
16354608,27,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,grn - green,kawasaki,zx900,2014
