crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_defect_1,vehicle_make,vehicle_model_name,vehicle_model_year
17688911,50,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),suzuki,unknown (suzuki),2017.0
17680595,64,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gld - gold,98 - other  (explain in narrative),harley-davidson,flhp (harley-davidson),2008.0
17680893,52,w - white,1 - male,0,k - fatal injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),yamaha,yzfr1 (yamaha),2017.0
17682768,58,h - hispanic,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),bmw,r1150 (bmw),2002.0
17680923,50,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,cbr1000 (honda),2006.0
17681388,33,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,vt600 (honda),2002.0
17682226,27,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),suzuki,gsx (suzuki),2020.0
17683143,46,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),harley-davidson,flt (harley-davidson),2019.0
17683322,25,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,12 - defective or slick tires,harley-davidson,xl883 (harley-davidson),2012.0
17683970,51,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,98 - other  (explain in narrative),honda,vtx1300 (honda),2007.0
17685785,42,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),kawasaki,vulcan 2000 (kawasaki),2010.0
17685872,32,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),yamaha,yzf600 (yamaha),2015.0
17685895,47,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),yamaha,unknown (yamaha),2006.0
17687154,24,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),kawasaki,zx600 (kawasaki),2013.0
17690226,20,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),yamaha,yzf600 (yamaha),2005.0
17683249,60,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,98 - other  (explain in narrative),harley-davidson,flhc (harley-davidson),2014.0
17684606,23,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,98 - other  (explain in narrative),indian motorcycle co.,scout (indian motorcycle co.),2016.0
17685387,30,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,98 - other  (explain in narrative),kawasaki,unknown (kawasaki),2010.0
17693232,15,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),kawasaki,vn800 (kawasaki),2004.0
17887726,52,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,unknown (honda),1991.0
17684062,23,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,gry - gray,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2004.0
17684304,44,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,11 - defective steering mechanism,harley-davidson,fls (harley-davidson),2013.0
17684639,20,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,98 - other  (explain in narrative),kawasaki,ex250 (kawasaki),2012.0
17688796,25,w - white,1 - male,0,n - not injured,mc - motorcycle,blu - blue,98 - other  (explain in narrative),yamaha,fz6 (yamaha),2006.0
17683986,42,a - asian,2 - female,0,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,ctx700 (honda),2018.0
