,crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year,vehicle_make_country,injury_binary,safety_score
11978,17158908,31,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,bmw,r1200,2015,Germany,1,0.8743122791164396
11979,17160955,33,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,honda,cbr600,2005,japan,1,0.9306747545128528
11980,17164120,42,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,suzuki,c50,2006,japan,1,0.928223767331892
11981,17167030,21,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,yamaha,yzfr1,2005,japan,1,0.9152024972451261
11982,17169926,59,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhs,2009,usa,1,0.9043169965006997
11983,17157890,19,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,honda,cbr1000,2018,japan,1,0.9288195085823375
11984,17161813,27,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,suzuki,gsx,2014,japan,1,0.8190963004459305
11985,17169457,28,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2004,japan,1,0.9255298685884976
11986,17170132,21,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,grn - green,honda,grom,2018,japan,1,0.9363305274016095
11987,17157472,57,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flstf,2004,usa,1,0.864330550446184
11988,17159095,53,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,mar - maroon,yamaha,fj1100,2007,japan,1,0.9215980395182937
11989,17164730,32,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,mul - multicolored,kawasaki,kl250,2019,japan,1,0.9187871637354423
11990,17165517,34,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,red - red,honda,atc250,1986,japan,0,0.8981417186577694
11991,17167834,30,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flstf,2011,usa,1,0.8977681948739163
11992,17169489,51,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,sil - silver,x-ten corporation,unknown,2008,Other,1,0.9627058306767716
11993,17169703,42,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx,2004,japan,1,0.8810560973668642
11994,17159271,52,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,triumph motorcycle,rocket iii,2011,Other,1,0.9248737857886448
11995,17167153,20,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,whi - white,harley-davidson,fld,2019,usa,1,0.9048344418218541
11996,17168259,28,w - white,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,suzuki,gsx,2018,japan,1,0.9269600738316612
11997,17168500,35,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,kawasaki,ninja zx,2007,japan,1,0.9263231429984866
11998,17161178,23,99 - unknown,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,kawasaki,ninja zx,2006,japan,1,0.7520423922027439
11999,17163707,26,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,honda,vt750,2013,japan,1,0.821106312560234
12000,17168630,42,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,mar - maroon,harley-davidson,flht,2004,usa,1,0.7651071108131063
12001,17164798,50,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,tan - tan,harley-davidson,flhc,2014,usa,1,0.9210052980282196
12002,17165983,36,b - black,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,kawasaki,zx1000,2004,japan,1,0.9527927165496215
12003,17164846,38,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhc,2019,usa,1,0.9526061197650152
12004,17165219,46,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,gry - gray,harley-davidson,flhx,2014,usa,1,0.853352191323069
12005,17165820,48,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,fxs,2016,usa,1,0.9531582446403027
12006,17166137,62,w - white,2 - female,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,fld,2013,usa,0,0.9476916351091313
12007,17168553,21,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr600,2009,japan,1,0.9442238828782726
12008,17169432,50,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,mar - maroon,harley-davidson,flt,2018,usa,1,0.8236465044732169
12009,17165788,53,w - white,1 - male,0,k - fatal injury,mc - motorcycle,sil - silver,can-am,spyder roadster,2008,Other,1,0.9067604769977647
12010,17228525,31,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,fld,2015,usa,1,0.9535080037044369
12011,17169954,41,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,suzuki,vl1500,1999,japan,1,0.9534211127263882
12012,17221768,66,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,honda,cbr600,2002,japan,1,0.9296271311652088
12013,17221704,59,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,all other makes,unknown,2004,Other,1,0.9195838762716967
12014,17229222,27,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr1100,2014,japan,1,0.911652022381133
12015,17222104,40,b - black,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,honda,cbr900,2002,japan,1,0.9398030281481963
12016,17223150,49,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fltru,2008,usa,1,0.86540155279944
12017,17222796,30,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr1000,2017,japan,1,0.956170620998422
12018,17223665,32,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,yamaha,yzf600,1997,japan,1,0.927546625702749
12019,17224717,20,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2007,usa,1,0.9399208669511029
12020,17229378,70,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,bmw,r1200,2019,Germany,1,0.9294331734580065
12021,17222627,38,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,honda,vt750,1999,japan,1,0.8836455950274065
12022,17225597,49,w - white,2 - female,0,b - suspected minor injury,mc - motorcycle,red - red,kymco usa inc,like,2012,Other,1,0.899209072433584
12023,17230247,28,w - white,1 - male,0,n - not injured,mc - motorcycle,blk - black,harley-davidson,fld,2014,usa,0,0.91754800005559
12024,17231824,53,h - hispanic,1 - male,0,n - not injured,mc - motorcycle,red - red,kawasaki,ninja zx,2019,japan,0,0.9331801078068058
12025,17229516,60,h - hispanic,1 - male,1,k - fatal injury,mc - motorcycle,mar - maroon,harley-davidson,fld,2007,usa,1,0.9206396729995329
12026,17222972,36,w - white,1 - male,0,k - fatal injury,mc - motorcycle,whi - white,harley-davidson,flhxse2,2018,usa,1,0.9433379211196051
12027,17223020,31,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fld,2019,usa,1,0.9380817142164878
12028,17223794,62,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,fld,2004,usa,1,0.9065915498227946
12029,17222584,47,w - white,2 - female,0,a - suspected serious injury,mc - motorcycle,red - red,harley-davidson,fld,2006,usa,1,0.9570238158491725
12030,17226784,31,w - white,1 - male,1,n - not injured,mc - motorcycle,blu - blue,yamaha,fjr1300,2016,japan,0,0.774628798929195
12031,17228465,55,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,xl883,2012,usa,1,0.9219868929350079
12032,17228824,17,w - white,2 - female,0,a - suspected serious injury,mc - motorcycle,blk - black,homemade vehicle,unknown,2007,Other,1,0.9552452050168542
12033,17235800,49,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,mul - multicolored,all other makes,unknown,2008,Other,1,0.9386888041343098
12034,17223991,22,h - hispanic,1 - male,1,n - not injured,mc - motorcycle,gry - gray,honda,cmx250,2017,japan,0,0.7944633485982607
12035,17224039,24,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,sym,scooter,2009,Other,1,0.9360277892008082
12036,17224500,34,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,bro - brown,harley-davidson,fld,2011,usa,1,0.9506881474603922
12037,17226726,26,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,kawasaki,kaf400,2019,japan,1,0.9167772617568642
12038,17228607,60,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,harley-davidson,flhx,2007,usa,1,0.9308907382554082
12039,17228908,34,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,an650,2008,japan,1,0.9620668519010643
12040,17231697,26,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flt,2007,usa,1,0.8575557967745655
