,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_defect_1,vehicle_make,vehicle_model_name,vehicle_model_year
3163,63,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,flfb (harley-davidson),2004.0
3164,20,h - hispanic,1 - male,1,n - not injured,mc - motorcycle,mul - multicolored,98 - other  (explain in narrative),yamaha,fzr1000 (yamaha),2006.0
3165,35,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,vt1100 (honda),2000.0
3166,46,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,98 - other  (explain in narrative),honda,crf100 (honda),2020.0
3167,46,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2017.0
3168,51,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),harley-davidson,flhc (harley-davidson),2016.0
3169,81,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),harley-davidson,flfb (harley-davidson),2018.0
3170,51,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,mar - maroon,98 - other  (explain in narrative),harley-davidson,unknown (harley-davidson),2008.0
3171,39,h - hispanic,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,98 - other  (explain in narrative),suzuki,c90 (suzuki),2007.0
3172,70,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,98 - other  (explain in narrative),honda,mb50 (honda),2002.0
