crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year,vehicle_make_country,injury_binary
17147384,37,b - black,2 - female,0,b - suspected minor injury,mc - motorcycle,red - red,yamaha,yzfr1,2009,Japan,1
17149756,23,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,honda,cbr1100,2018,Japan,1
17150543,43,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,flhc,2011,USA,1
17141389,27,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr300,2017,Japan,1
17141633,50,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,victory motorcycles,cross country,2012,Other,1
17141637,39,b - black,2 - female,1,b - suspected minor injury,mc - motorcycle,grn - green,kawasaki,ninja zx,2012,Japan,1
17146043,48,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,flhtcu,2013,USA,1
17146063,42,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,harley-davidson,fld,2018,USA,1
17146292,21,w - white,2 - female,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,cbr500,2017,Japan,1
17148108,20,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flhc,2008,USA,1
17149697,55,w - white,2 - female,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,xlh,2,USA,1
17149840,62,w - white,1 - male,0,n - not injured,mc - motorcycle,whi - white,harley-davidson,xl1200,2018,USA,0
17150555,31,h - hispanic,1 - male,0,k - fatal injury,mc - motorcycle,red - red,honda,cbr250,2012,Japan,1
17153687,46,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,red - red,kawasaki,vulcan 2000,2001,Japan,1
17156089,62,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,flhtk,2017,USA,1
17144542,66,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,red - red,honda,xr200,1998,Japan,1
17144820,61,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,fjr1300,2004,Japan,1
17146129,31,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,1999,Japan,1
17147616,52,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,suzuki,gsx,2007,Japan,1
17145049,28,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,can-am,spyder roadster,2012,Other,1
17145363,59,98 - other,1 - male,1,b - suspected minor injury,mc - motorcycle,whi - white,harley-davidson,fld,1997,USA,1
17145972,40,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,kawasaki,zx750,2009,Japan,1
17149204,30,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,cbr600,2009,Japan,1
17147414,33,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,piaggio,typhoon,2005,Other,1
17148003,18,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx,2011,Japan,1
17149197,57,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,grn - green,kawasaki,krt750,2003,Japan,1
17148253,25,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,yamaha,fz09,2016,Japan,1
17152429,34,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,yamaha,yzfr1,2014,Japan,1
17151396,72,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,xlh1200,1998,USA,1
17151428,68,b - black,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,flhc,2006,USA,0
17152054,56,w - white,2 - female,0,n - not injured,mc - motorcycle,blk - black,harley-davidson,flhtcutg,2013,USA,0
17270244,61,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,suzuki,gsx,2007,Japan,1
17155570,28,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,honda,cbr600,2017,Japan,1
17155573,24,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,grn - green,kawasaki,en650,2002,Japan,1
17206412,20,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,suzuki,gsx,1999,Japan,1
17153733,35,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,yel - yellow,harley-davidson,fld,2005,USA,1
17154366,43,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,moto guzzi,eldorado,1973,Other,1
17154602,69,w - white,1 - male,1,n - not injured,mc - motorcycle,ple - purple,harley-davidson,fld,2,USA,0
17154767,42,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,red - red,honda,cb600,2012,Japan,1
17202507,38,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,honda,vt750,2008,Japan,1
17155401,19,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,suzuki,gsx,2003,Japan,1
17155779,29,w - white,1 - male,0,n - not injured,mc - motorcycle,red - red,triumph motorcycle,daytona 675r,2007,Other,0
17199286,34,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,kawasaki,zr1200,2004,Japan,1
17196502,40,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,suzuki,gsx,2001,Japan,1
17205339,52,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flde,2016,USA,1
17218400,31,b - black,1 - male,1,n - not injured,mc - motorcycle,blk - black,suzuki,gsx,2014,Japan,0
17197168,31,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2014,USA,1
17197980,30,w - white,2 - female,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2003,USA,1
17201824,19,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,99 - unknown,harley-davidson,fld,2006,USA,1
17199925,72,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fls,2009,USA,1
17200923,45,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,harley-davidson,flt,2019,USA,1
17196048,27,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,2017,USA,1
17197538,20,w - white,1 - male,0,k - fatal injury,mc - motorcycle,blk - black,yamaha,fz07,2016,Japan,1
17196400,64,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,harley-davidson,xlh883,1999,USA,1
17217726,22,a - asian,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,honda,cbr600,2016,Japan,1
17198176,44,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,mrt260e,2016,Japan,1
17201915,58,w - white,1 - male,1,n - not injured,mc - motorcycle,blk - black,harley-davidson,flhc,2014,USA,0
17203824,57,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,sil - silver,harley-davidson,fld,2003,USA,1
17205978,42,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,harley-davidson,flstc,201,USA,1
17213538,28,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,yamaha,yzfr1,2013,Japan,1
17205938,39,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,vl800,2004,Japan,1
17203173,28,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,flstf,2008,USA,1
